"","author","median_pub_date"
"868","fielding a 1900",1930
"869","fielding gabriel 19161986",1961
"870","fielding h 18591917",1914
"871","figes eva",1984
"872","findley timothy",1977
"873","fine anne",1994
"874","finley martha 18281909",1894
"875","finn francis james 18591928",1901
"876","fisher dorothy canfield 18791958",1924
"877","fisher vardis 18951968",1956
"878","fitzgerald f scott 18961940",1952
"879","fitzgerald penelope",1987
"880","fitzhugh percy keese 18761950",1922
"881","flagg fannie",2000
"882","flaubert gustave 18211880",1903
"883","fleming berry 18991989",1960
"884","fleming george 18581938",1884
"885","fleming ian 19081964",1964
"886","fleming may agnes 18401880",1879
"887","fletcher inglis 18791969",1949
"888","fletcher j s 18631935",1924
"889","flower jessie graham",1919
"890","flygarecarlen emilie 18071892",1852
"891","flynn robert 1932",1994
"892","fogazzaro antonio 18421911",1906
"893","follen eliza lee cabot 17871860",1855
"894","foote john taintor 18811950",1930
"895","foote mary hallock 18471938",1900
"896","foote shelby",1976
"897","footner hulbert 18791944",1923
"898","ford ford madox 18731939",1920
"899","ford james l 18541928",1895
"900","ford leslie 18981983",1936
"901","ford paul leicester 18651902",1900
"902","ford richard 1944",1997
"903","ford sewell 18681946",1912
"904","forester c s 18991966",1949
"905","forman justus miles 18751915",1907
"906","forrest katherine v 1939",1992
"907","forrester mrs",1884
"908","forster e m 18791970",1951
"909","forster margaret 19382016",1991
"910","forsyth frederick 1938",1976
"911","foster david 1944",1986
"912","fothergill jessie 18511891",1886
"913","fowler ellen thorneycroft 18601929",1901
"914","fox john jr 18621919",1909
"915","fox paula",1970
"916","fox william price",1970
"917","frame janet",1970
"918","france anatole 18441924",1921
"919","francis dick",1984
"920","francis m e d 1930",1903
"921","frank waldo david 18891967",1924
"922","frankau gilbert 18841952",1926
"923","frankau julia 18641916",1910
"924","frankau pamela 19081967",1960
"925","franken rose 18951988",1950
"926","franklin josephine",1862
"927","franklin miles 18791954",1974
"928","fraser george macdonald 19252008",1978
"929","fraser hugh mrs d 1922",1902
"930","fraser james baillie 17831856",1831
"931","fraser william alexander 18591933",1907
"932","frayn michael",1979
"933","frederic harold 18561898",1896
"934","freeling nicolas",1971
"935","freeman gillian",1975
"936","freeman mary eleanor wilkins 18521930",1900
"937","freeman r austin 18621943",1929
"938","freemantle brian",1984
"939","french joseph lewis 18581936",1922
"940","frenssen gustav 18631945",1911
"941","frey hildegarde gertrude 1891",1916
"942","friedman bruce jay 19302020",1977
"943","friedman kinky",1998
"944","fuentes carlos",1986
"945","fuller anna 18531916",1898
"946","fuller henry blake 18571929",1898
"947","fuller john 1937 january 1",1992
"948","fuller roy 19121991",1975
"949","fullerton georgiana lady 18121885",1864
"950","fullom s w d 1872",1856
"951","furman lucy s",1914
"952","furst alan",2001
"953","futrelle jacques 18751912",1908
"954","gabaldon diana",2001
"955","gaboriau emile 18321873",1900
"956","gale patrick 1962",1996
"957","gale zona 18741938",1915
"958","gallant mavis",1985
"959","gallico paul 18971976",1959
"960","gallizier nathan 18661927",1918
"961","gallon tom 18661914",1907
"962","galsworthy john 18671933",1923
"963","galt john 17791839",1825
"964","gangopadhyaya sunil",2004
"965","gann ernest kellogg 19101991",1955
"966","garca mrquez gabriel 19272014",1989
"967","gardam jane",1983
"968","gardener helen h 18531925",1892
"969","gardner erle stanley 18891970",1947
"970","gardner john 19331982",1976
"971","garfield leon",1982
"972","garis howard roger 18731962",1918
"973","garland hamlin 18601940",1907
"974","garner alan 1934",1973
"975","garner hugh 1913",1969
"976","garnett david 18921981",1956
"977","garrett george 19292008",1990
"978","garvice charles d 1920",1896
"979","garwood julie",2002
"980","gary romain",1964
"981","gascar pierre 19161997",1964
"982","gaskell elizabeth cleghorn 18101865",1869
"983","gass william h 19242017",1985
"984","gates doris 19011987",1950
"985","gates eleanor 18751951",1908
"986","gatty alfred mrs 18091873",1866
"987","gautier theophile 18111872",1899
"988","gee maurice",1993
"989","gellhorn martha 19081998",1958
"990","george elizabeth 1949",2000
"991","george w l 18821926",1919
"992","gerard dorothea 18551915",1902
"993","gerhardie william alexander 18951977",1958
"994","gerould katharine fullerton 18791944",1920
"995","gerritsen tess",2002
"996","gerson noel b 19141988",1968
"997","ghose zulfikar 1935",1982
"998","gibbon charles 18431890",1882
"999","gibbon perceval 18791926",1911
"1000","gibbons kaye 1960",1992
"1001","gibbons stella 19021989",1949
"1002","gibbs a hamilton 18881964",1928
"1003","gibbs george 18701942",1914
"1004","gibbs philip 18771962",1934
"1005","gibson william 1948",1990
"1006","gide andre 18691951",1950
"1007","gifford barry 1946",1993
"1008","gilbert edwin",1956
"1009","gilbert rosa m 18411921",1905
"1010","gilbert w s 18361911",1894
"1011","gilbert william 18041890",1870
"1012","gilchrist murray 18681917",1900
"1013","giles janice holt",1960
"1014","gilliam e w 18341925",1904
"1015","gilliatt penelope",1982
"1016","gillmore inez haynes 18731970",1917
"1017","gilman caroline howard 17941888",1859
"1018","gilmore james r 18221903",1863
"1019","gilson roy rolfe 18751933",1906
"1020","ginzburg natalia",1987
"1021","giono jean 18951970",1959
"1022","gissing algernon 18601937",1897
"1023","gissing george 18571903",1896
"1024","glancy diane",1997
"1025","glanville brian",1965
"1026","glasgow ellen 18731945",1922
"1027","glaspell susan 18761948",1929
"1028","glass montague 18771934",1915
"1029","gleig g r 17961888",1836
"1030","glyn elinor 18641943",1910
"1031","godden rumer 19071998",1961
"1032","godwin gail",1982
"1033","godwin william 17561836",1830
"1034","goh sin tub",1998
"1035","gold herbert 1924",1972
"1036","golding louis 18951958",1939
"1037","golding william 19111993",1960
"1038","goldman william 19312018",1974
"1039","goldring douglas 1887",1918
"1040","gombrowicz witold",1978
"1041","goncourt edmond de 18221896",1894
"1042","gonzlez n v m 19151999",1977
"1043","goodman paul 19111972",1966
"1044","goodrich arthur frederick 18781941",1909
"1045","goodrich samuel g 17931860",1845
"1046","goodwin maud wilder 18561935",1904
"1047","gordimer nadine",1975
"1048","gordon caroline 18951981",1963
"1049","gordon julien 18501920",1894
"1050","gore mrs 17991861",1842
"1051","gorky maksim 18681936",1922
"1052","gorman herbert sherman 18931954",1942
"1053","goudge elizabeth 19001984",1948
"1054","gould nat",1919
"1055","gould nathaniel 18571919",1908
"1056","goulding f r 18101881",1870
"1057","goyen william",1974
"1058","goytisolo juan",1988
"1059","grace patricia 1937",1990
"1060","grade chaim 19101982",1980
"1061","grafton sue",1994
"1062","graham laurie 1947",2002
"1063","graham winston",1970
"1064","grand sarah",1904
"1065","grant james 18221887",1874
"1066","grant maria m",1878
"1067","grant robert 18521940",1892
"1068","grant watson elliot l 18851970",1922
"1069","grass gnter 19272015",1973
"1070","grattan thomas colley 17921864",1831
"1071","grau shirley ann",1975
"1072","graves robert 18951985",1956
"1073","gray alasdair",1985
"1074","gray barry 18261886",1870
"1075","gray joslyn",1920
"1076","gray maxwell d 1923",1894
"1077","gray stephen 1941",1990
"1078","grayson david 18701946",1916
"1079","green anna katharine 18461935",1905
"1080","green gerald",1972
"1081","green henry 19051973",1950
"1082","green julien 19001998",1962
"1083","greenberg joanne",1971
"1084","greenburg dan",1994
"1085","greene graham 19041991",1968
"1086","greene mrs 18331891",1884
"1087","greene sarah pratt mclean 18561935",1897
"1088","greenwood grace 18231904",1866
"1089","gregory jackson 18821943",1926
"1090","grenville kate 1950",1987
"1091","gresley w 18011876",1843
"1092","greville henry 18421902",1880
"1093","grey mrs 17981869",1849
"1094","grey zane 18721939",1920
"1095","grier sydney c 18681933",1907
"1096","griffin gerald 18031840",1840
"1097","griffin w e b",2000
"1098","griffith george chetwynd",1903
"1099","griffith mary d 1846",1836
"1100","griffiths arthur 18381908",1888
"1101","griffiths niall 1966",2002
"1102","grimes martha",1996
"1103","grimshaw beatrice ethel",1920
"1104","grimsley jim 1955",2000
"1105","grinnell george bird 18491938",1904
"1106","grisham john",2001
"1107","griswold f burge 18261900",1869
"1108","gronowski paul",1978
"1109","grossman vasili",1978
"1110","grove frederick philip 18791948",1961
"1111","grove harriet pyne",1927
"1112","grubb davis 19191980",1968
"1113","gruber frank 19041969",1954
"1114","guernsey lucy ellen 18261899",1872
"1115","guibert herv",1993
"1116","gull cyril arthur edward ranger 18761923",1909
"1117","gunn james e 1923",1975
"1118","gunn neil m 18911973",1981
"1119","gunter archibald clavering 18471907",1895
"1120","gurganus allan 1947",1992
"1121","guthrie a b 19011991",1966
"1122","guy rosa",1989
"1123","gwaltney francis irby 19211981",1962
"1124","gwynne talbot",1854
"1125","habberton john 18421921",1882
"1126","habe hans 19111977",1964
"1127","haggard h rider 18561925",1910
"1128","hahn emily 19051997",1949
"1129","hailey arthur",1969
"1130","haines donal hamilton 18861951",1932
"1131","haining peter",1971
"1132","hains t jenkins 1866",1901
"1133","haldeman joe w",1989
"1134","hale edward everett sr 18221909",1887
"1135","hale nancy 19081988",1956
"1136","hale sarah josepha buell 17881879",1842
"1137","hales a g 18701936",1913
"1138","halevy ludovic 18341908",1894
"1139","haliburton thomas chandler 17961865",1855
"1140","hall holworthy 18871936",1917
"1141","hall james 17931868",1834
"1142","hall lynn",1982
"1143","hall oakley m",1982
"1144","hall radclyffe",1952
"1145","hall rodney 1935",1982
"1146","hall s c mrs 18001881",1848
"1147","halldr laxness 19021998",1969
"1148","halligan marion 1940",1993
"1149","halper albert 19041984",1940
"1150","hameda humna 19482012",1996
"1151","hamerton philip gilbert 18341894",1876
"1152","hamilton cosmo 18721942",1912
"1153","hamilton patrick 1904 mar 171962",1949
"1154","hamiltonpaterson james",1992
"1155","hammett dashiell 18941961",1972
"1156","hamsun knut 18591952",1924
"1157","hancock h irving 18681922",1911
"1158","hanley gerald",1956
"1159","hanley james 18971985",1947
"1160","hannah barry",1984
"1161","hanrahan barbara",1981
"1162","hansen joseph 19232004",1983
"1163","hanshew thomas w 18571914",1917
"1164","harben will n 18581919",1910
"1165","hardy arthur sherburne 18471930",1912
"1166","hardy frank j",1970
"1167","hardy thomas 18401928",1905
"1168","harker l allen 18631933",1912
"1169","harland henry 18611905",1900
"1170","harland marion 18301922",1877
"1171","harraden beatrice 18641936",1899
"1172","harrington william 1931",1974
"1173","harris corra 18691935",1918
"1174","harris e lynn",2000
"1175","harris frank 18551931",1914
"1176","harris joel chandler 18481908",1899
"1177","harris mark 19222007",1959
"1178","harris miriam coles 18341925",1875
"1179","harrisburland j b 18701926",1907
"1180","harrison burton mrs 18431920",1897
"1181","harrison harry 1925",1972
"1182","harrison henry sydnor 18801930",1913
"1183","harrison jim 19372016",1982
"1184","harte bret 18361902",1892
"1185","hartley l p 18951972",1961
"1186","haslam gerald w",1997
"1187","hassler jon",1997
"1188","hatton joseph 18411907",1890
"1189","hauck louise platt 18831943",1938
"1190","haugaard erik christian",1967
"1191","hauptmann gerhart 18621946",1918
"1192","hauser marianne",1981
"1193","hawkes john 19251998",1982
"1194","hawthorne julian 18461934",1888
"1195","hawthorne nathaniel 18041864",1876
"1196","hay ian",1923
"1197","hay mary cecil 18401886",1876
"1198","hayes alfred 19111985",1959
"1199","hayes clair w 1887",1917
"1200","hayward william stephens",1879
"1201","hbert anne",1982
"1202","head bessie 19371986",1986
"1203","hearn lafcadio 18501904",1903
"1204","hearon shelby 1931",1987
"1205","heath roy a k",1982
"1206","hecht ben 18941964",1926
"1207","hegi ursula",1994
"1208","heimburg w 18501912",1894
"1209","heinesen william 19001991",1982
"1210","heinlein robert a 19071988",1968
"1211","heller joseph",1986
"1212","helme elizabeth 17431814",1805
"1213","helprin mark",1989
"1214","helps arthur sir 18131875",1874
"1215","hemingway ernest 18991961",1953
"1216","hemyng bracebridge 18411901",1909
"1217","hendryx james b 18801963",1920
"1218","henham ernest g 1870",1909
"1219","henry o 18621910",1911
"1220","hentoff nat",1968
"1221","henty g a 18321902",1899
"1222","hentz caroline lee 18001856",1856
"1223","heppenstall rayner 19111981",1962
"1224","herbert a p 18901971",1930
"1225","herbert frank",1977
"1226","herbert henry william 18071858",1852
"1227","hergesheimer joseph 18801954",1922
"1228","herrick robert 18681938",1909
"1229","hersey john 19141993",1966
"1230","hesse hermann 18771962",1969
"1231","hewlett maurice 18611923",1909
"1232","heyer georgette 19021974",1959
"1233","heyliger william 18841955",1930
"1234","heym stefan 19132001",1964
"1235","heyward dubose 18851940",1934
"1236","hiaasen carl",2000
"1237","hichens robert 18641950",1917
"1238","higgins aidan 19272015",1977
"1239","higgins george v 19391999",1983
"1240","highsmith patricia 19211995",1980
"1241","highwater jamake",1981
"1242","hill frederick trevor 18661930",1905
"1243","hill george canning 18251898",1858
"1244","hill grace livingston 18651947",1919
"1245","hill headon 18571927",1906
"1246","hill marion 18701918",1914
"1247","hill reginald",1993
"1248","hill susan 1942",1992
"1249","hillerman tony",1988
"1250","hilton james 19001954",1936
"1251","himes chester b 19091984",1968
"1252","hinojosa rolando",1985
"1253","hinton s e",1979
"1254","hobbes john oliver 18671906",1897
"1255","hocking joseph 18601937",1909
"1256","hocking silas k 18501935",1895
"1257","hodgins jack 1938",1984
"1258","hoffman alice",1994
"1259","hoffman william 1925",1976
"1260","hofland mrs 17701844",1835
"1261","hofmann gert",1988
"1262","hogg james 17701835",1824
"1263","holden ursula",1982
"1264","holding elisabeth sanxay 18891955",1932
"1265","holland cecelia 1943",1973
"1266","holland clive 18661959",1902
"1267","holland isabelle",1975
"1268","holland j g 18191881",1884
"1269","holland rupert sargent 18781952",1920
"1270","holley marietta 18361926",1889
"1271","holme constance",1934
"1272","holmes mary jane 18251907",1886
"1273","holmes oliver wendell 18091894",1892
"1274","hood hugh",1973
"1275","hood tom 18351874",1867
"1276","hook theodore edward 17881841",1838
"1277","hope anthony 18631933",1900
"1278","hope christopher",1986
"1279","hope laura lee",1920
"1280","hope thomas 17701831",1831
"1281","hopkins william john 18631926",1910
"1282","horan james d 19141981",1967
"1283","horgan paul 19031995",1952
"1284","hornblow arthur 18651942",1912
"1285","hornung e w 18661921",1904
"1286","horsley kate 1952",2002
"1287","horton george 18601942",1905
"1288","horwitz julius 1920",1970
"1289","hosmer margaret 18301897",1870
"1290","hotchkiss chauncey c 18521920",1905
"1291","hough emerson 18571923",1913
"1292","houghton claude 1889",1930
"1293","household geoffrey 19001988",1966
"1294","housman laurence 18651959",1910
"1295","houston james 19212005",1977
"1296","howard blanche willis 18471898",1890
"1297","howard edward d 1841",1839
"1298","howard elizabeth jane",1978
"1299","howard keble 18751928",1909
"1300","howard linda 1950",2002
"1301","howard maureen 1930",1992
"1302","howe e w 18531937",1889
"1303","howe fanny",1996
"1304","howells william dean 18371920",1895
"1305","howitt mary botham 17991888",1852
"1306","hoyle fred 19152001",1966
"1307","hrabal bohumil 19141997",1990
"1308","hubbard elbert 18561915",1911
"1309","huddle david 1942",1996
"1310","hudson w h 18411922",1920
"1311","hughes dorothy b 19041993",1945
"1312","hughes langston 19021967",1968
"1313","hughes richard 19001976",1961
"1314","hughes rupert 18721956",1918
"1315","hughes thomas 18221896",1883
"1316","hugo victor 18021885",1888
"1317","hull helen r 18881971",1939
"1318","hume fergus 18591932",1903
"1319","humphrey william",1968
"1320","humphrey zephine 1874",1914
"1321","humphreys emyr",1988
"1322","humphries adelaide",1942
"1323","huneker james 18571921",1921
"1324","hunt irene",1968
"1325","hunt leigh 17841859",1850
"1326","hunt mabel leigh 18921971",1944
"1327","hunt violet 18621942",1909
"1328","hunter evan 19262005",1969
"1329","hunter mollie 19222012",1977
"1330","huntington j v 18151862",1852
"1331","hurst fannie 18891968",1930
"1332","hurston zora neale",1974
"1333","huston nancy 1953",2000
"1334","hutchins maude 18991991",1955
"1335","hutchinson a s m 18801971",1921
"1336","hutchinson r c 19071975",1960
"1337","hutten zum stolzenberg betsey riddle freifrau von 18741957",1910
"1338","huxley aldous 18941963",1939
"1339","hyde catherine ryan",2003
"1340","hyne c j cutcliffe",1903
"1341","hyne c j cutcliffe 18661944",1903
"1342","ibezute chukwuma",2004
"1343","ibsen henrik 18281906",1915
"1344","ibuse masuji 18981993",1978
"1345","ike vincent chukwuemeka 1931",1990
"1346","iles greg",2005
"1347","infante j eddie",1980
"1348","ingalls rachel",1988
"1349","ingelow jean 18201897",1881
"1350","ingoldsby thomas 17881845",1861
"1351","ingraham j h 18091860",1846
"1352","ingram eleanor m 18861921",1912
"1353","innes hammond 19131998",1964
"1354","innes michael 19061994",1971
"1355","inoue yasushi 19071991",1989
"1356","ireland david 1927",1981
"1357","irving john 1942",1989
"1358","irving john treat 18121906",1853
"1359","irving washington 17831859",1850
"1360","irwin margaret 18891967",1942
"1361","irwin wallace 18761959",1916
"1362","irwin will 18731948",1911
"1363","isham frederic stewart 18661922",1912
"1364","isherwood christopher 19041986",1954
"1365","isler alan 1934",1997
"1366","ivaakarapia takali 19121999",1975
"1367","jacks l p 18601955",1914
"1368","jackson c paul 1902",1952
"1369","jackson charles 19031968",1949
"1370","jackson helen hunt 18301885",1889
"1371","jacobs w w 18631943",1908
"1372","jacobson dan",1964
"1373","jakes john 1932",1977
"1374","james g p r 18011860",1844
"1375","james henry 18431916",1898
"1376","james m r 18621936",1922
"1377","james p d",1993
"1378","james will 18921942",1936
"1379","jameson storm 18911986",1944
"1380","jamison c v 18371909",1890
"1381","janes j robert 1935",1998
"1382","janvier thomas a 18491913",1894
"1383","japrisot sebastien 19312003",1990
"1384","jefferies richard 18481887",1891
"1385","jenkin c 18071885",1866
"1386","jenkins dan",1984
"1387","jenkins edward 18381910",1876
"1388","jenkins herbert george 18761923",1921
"1389","jenkins robin 19122005",1991
"1390","jennings john 19061973",1956
"1391","jepson edgar 18631938",1911
"1392","jerome jerome k 18591927",1900
"1393","jerrold douglas william 18031857",1848
"1394","jesse f tennyson 18881958",1921
"1395","jewett sarah orne 18491909",1893
"1396","jhabvala ruth prawer 19272013",1974
"1397","jin ha 1956",2000
"1398","joaquin nick",1977
"1399","johansen iris",2003
"1400","johnson diane",1987
"1401","johnson owen 18781952",1912
"1402","johnson pamela hansford 19121981",1961
"1403","johnson virginia w 18491916",1874
"1404","johnston annie f 18631931",1908
"1405","johnston jennifer 1930",1980
"1406","johnston mary 18701936",1915
"1407","johnston richard malcolm 18221898",1891
"1408","jokai mor 18251904",1898
"1409","jolley elizabeth 19232007",1986
"1410","jolly emily",1866
"1411","jones diana wynne",1986
"1412","jones gayl",1986
"1413","jones gwyn 19071999",1963
"1414","jones j b 18101866",1859
"1415","jones james 19211977",1968
"1416","jones joseph 18121882",1855
"1417","jong erica",1988
"1418","jordan elizabeth garver 18671947",1922
"1419","jos f sionil 1924",1988
"1420","josipovici gabriel 1940",1990
"1421","joyce james 18821941",1957
"1422","judson clara ingram 18791960",1928
"1423","judson emily c 18171854",1847
"1424","just ward s",1990
"1425","kadare ismail",1997
"1426","kalimugogo godfrey",1976
"1427","kallmaker karin 1960",1998
"1428","kalpakian laura",1988
"1429","kamalevara 19322007",2000
"1430","kane frank 19121968",1958
"1431","kaniuk yoram",1978
"1432","kantor mackinlay 19041977",1966
"1433","karon jan 1937",2000
"1434","karp david 19221999",1956
"1435","kataev valentin 18971986",1960
"1436","katz steve 1935",1987
"1437","kauffman janet",1993
"1438","kauffman reginald wright 18771959",1914
"1439","kavan anna 19011968",1976
"1440","kavanagh julia 18241877",1859
"1441","kawabata yasunari 18991972",1970
"1442","kay ross",1916
"1443","kayesmith sheila 18871956",1926
"1444","kazantzakis nikos 18831957",1963
"1445","keable robert 18871927",1922
"1446","keane john b 19282002",1992
"1447","keary annie 18251879",1879
"1448","keating h r f 19262011",1984
"1449","keats gwendoline",1901
"1450","keefer janice kulyk 1953",1990
"1451","keene carolyn",1968
"1452","keene day",1954
"1453","keillor garrison",1995
"1454","kelland clarence budington 18811964",1920
"1455","kellerman faye",1992
"1456","kellerman jonathan",2002
"1457","kelley william melvin 1937",1977
"1458","kellogg elijah 18131901",1874
"1459","kelly eric p 18841960",1939
"1460","kelly florence finch 18581939",1910
"1461","kelly myra 18761910",1908
"1462","kelman james 1946",1996
"1463","kelty mary ann 17891873",1824
"1464","keneally thomas",1979
"1465","kennard edward mrs",1890
"1466","kennaway james 19281968",1976
"1467","kennedy a l",2001
"1468","kennedy grace 17821825",1827
"1469","kennedy john pendleton 17951870",1853
"1470","kennedy margaret 18961967",1939
"1471","kennedy william 1928",1983
"1472","kent alexander",1988
"1473","kenyon f w 1912",1956
"1474","kernahan coulson 18581943",1901
"1475","kerouac jack 19221969",1974
"1476","kerr m e",1984
"1477","kersh gerald 19111968",1955
"1478","kesey ken",1990
"1479","kessel joseph 18981979",1963
"1480","kester vaughan 18691911",1911
"1481","keyes frances parkinson 18851970",1943
"1482","kiely benedict",1977
"1483","killens john oliver 19161987",1972
"1484","kilworth garry",1990
"1485","kimball george selwyn d 1909",1905
"1486","kimball richard b 18161892",1862
"1487","king basil 18591928",1914
"1488","king charles 18441933",1898
"1489","king francis henry 1923",1982
"1490","king john 1960",1999
"1491","king laurie r",2002
"1492","king stephen 1947",1996
"1493","kingsley charles 18191875",1886
"1494","kingsley florence morse 18591937",1905
"1495","kingsley henry 18301876",1886
"1496","kingston william henry giles 18141880",1880
"1497","kinross albert 18701929",1904
"1498","kinsella w p",1986
"1499","kipling rudyard 18651936",1899
"1500","kirk ellen olney 18421928",1890
"1501","kirkland caroline m 18011864",1846
"1502","kirkman marshall m 18421921",1911
"1503","kirn walter 1962",2000
"1504","kirst hans hellmut 19141989",1968
"1505","kjelgaard jim 19101959",1956
"1506","klein charles 18671915",1910
"1507","klma ivan",1990
"1508","knebel fletcher",1967
"1509","knibbs henry herbert 18741945",1918
"1510","knight damon 19222002",1972
"1511","knight kathleen moore",1950
"1512","knight william allen 18631957",1912
"1513","knipe emilie benson 18701958",1919
"1514","knowles james sheridan 17841862",1847
"1515","koestler arthur 19051983",1966
"1516","kohler sheila",1999
"1517","kolia john",1979
"1518","komroff manuel 18901974",1939
"1519","koning hans",1971
"1520","koontz dean r 1945",2000
"1521","kosinski jerzy 19331991",1976
"1522","kotzwinkle william",1982
"1523","kraft eric",1988
"1524","kranes david",1986
"1525","krentz jayne ann",1999
"1526","kroetsch robert 19272011",1977
"1527","kummer frederic arnold 18731943",1915
"1528","kundera milan",1982
"1529","kuprin a i 18701938",1917
"1530","kvoreck josef 19242012",1987
"1531","kyne peter b 18801957",1921
"1532","la farge oliver 19011963",1966
"1533","la guma alex",1972
"1534","la mottefouque friedrich heinrich karl freiherr de 17771843",1856
"1535","lachtman ofelia dumas",1999
"1536","laffan de courcy mrs d 1912",1891
"1537","lagerkvist pr 18911974",1967
"1538","lagerlof selma 18581940",1911
"1539","lahaye tim f",1999
"1540","lamartine alphonse de 17901869",1867
"1541","lamb caroline lady 17851828",1819
"1542","lamb harold 18921962",1933
"1543","lambert gavin",1972
"1544","lamming george 1927",1976
"1545","lamour louis 19081988",1999
"1546","lamprey louise 18691951",1922
"1547","lancaster bruce 18961963",1944
"1548","lancaster g b 18741945",1906
"1549","lander sarah w 18101872",1863
"1550","landon herman 18821960",1922
"1551","landor walter savage 17751864",1886
"1552","lane elinor macartney d 1909",1909
"1553","lang andrew 18441912",1896
"1554","lange d 18631940",1918
"1555","lanham edwin 19041979",1940
"1556","lao she 18991966",1979
"1557","lardner ring 18851933",1925
"1558","lasky kathryn",1988
"1559","lattany kristin hunter 19312008",1978
"1560","lauder thomas dick sir 17841848",1832
"1561","laughlin clara e 18731941",1912
"1562","laumer keith 19251993",1971
"1563","laurence margaret",1970
"1564","lavin mary 19121996",1970
"1565","lawless emily 18451913",1889
"1566","lawrence d h 18851930",1930
"1567","lawrence george a 18271876",1866
"1568","lawrence iain 1955",2001
"1569","lawrence josephine 18971978",1942
"1570","lawson henry 18671922",1928
"1571","le carre john 1931",1974
"1572","le clzio jm g 1940",1983
"1573","le fanu joseph sheridan 18141873",1870
"1574","le gallienne richard 18661947",1907
"1575","le guin ursula k 19292018",1976
"1576","le queux william 18641927",1910
"1577","le sueur meridel",1980
"1578","leacock stephen 18691944",1920
"1579","leavitt david 1961",1994
"1580","leblanc maurice 18641941",1913
"1581","lee hannah farnham sawyer 17801865",1837
"1582","lee holme 18281900",1862
"1583","lee jennette barbour perry 1860",1910
"1584","lee tanith",1989
"1585","lee vernon 18561935",1906
"1586","lehrer james",1997
"1587","leiber fritz 19101992",1976
"1588","leinster murray 18961975",1959
"1589","leitch maurice 1933",1987
"1590","leland charles godfrey 18241903",1883
"1591","lem stanisaw",1980
"1592","lemon mark 18091870",1866
"1593","leonard elmore 19252013",1998
"1594","leonov leonid 18991994",1956
"1595","lepelletier edmond 18461913",1895
"1596","leroux gaston 18681927",1913
"1597","lescroart john t",2004
"1598","leslie doris",1954
"1599","leslie madeline 18151893",1863
"1600","leslie shane 18851971",1925
"1601","lessing doris 19192013",1978
"1602","lester pauline",1922
"1603","lever charles 18061872",1869
"1604","leverson ada",1950
"1605","levettyeats s",1898
"1606","levin meyer 19051981",1958
"1607","lewis alfred henry 18571914",1903
"1608","lewis janet 18991998",1959
"1609","lewis m g 17751818",1811
"1610","lewis sinclair 18851951",1932
"1611","lewis wyndham 18821957",1955
"1612","lewisohn ludwig 18821955",1933
"1613","lheureux john",1992
"1614","libbey laura jean 18621924",1890
"1615","lillibridge william otis 18781909",1908
"1616","lim catherine",1993
"1617","lin yutang 18951976",1952
"1618","lincoln joseph crosby 18701944",1918
"1619","lincoln natalie sumner 18811935",1916
"1620","lincoln victoria 19041981",1952
"1621","lindsay jack 19001990",1960
"1622","lindsay maud 18741941",1916
"1623","lindsay norman 18791969",1962
"1624","lindsey johanna",1999
"1625","linington elizabeth",1964
"1626","linklater eric 18991974",1950
"1627","linton e lynn 18221898",1880
"1628","lipman elinor",1998
"1629","lippard george 18221854",1850
"1630","lippmann julie mathilde 1864",1914
"1631","lish gordon",1986
"1632","lispector clarice",1984
"1633","litchfield grace denio 18491944",1890
"1634","littell robert 1935",1997
"1635","little frances 18631941",1910
"1636","lively penelope 1933",1989
"1637","llewellyn richard",1960
"1638","lloyd john uri 18491936",1900
"1639","lloyd nelson 18731933",1903
"1640","llywelyn morgan",1990
"1641","locke william john 18631930",1911
"1642","lockhart j g 17941854",1824
"1643","lockhart laurence w m 18311882",1875
"1644","lockridge frances louise davis",1948
"1645","lockridge richard 18981982",1966
"1646","lodge david 1935",1990
"1647","lofting hugh 18861947",1932
"1648","lofts norah 19041983",1961
"1649","london jack 18761916",1912
"1650","long john luther 18611927",1905
"1651","longfellow henry wadsworth 18071882",1881
"1652","longstreet augustus baldwin 17901870",1860
"1653","longstreet stephen 19072002",1959
"1654","loomis charles battell 18611911",1905
"1655","lorac e c r 18941958",1946
"1656","loring emilie baker",1942
"1657","loti pierre 18501923",1902
"1658","lovecraft h p 18901937",1964
"1659","lovelace earl 1935",1982
"1660","lovelace maud hart 18921980",1942
"1661","lover samuel 17971868",1837
"1662","lovesey peter",2000
"1663","lowndes belloc 18681947",1922
"1664","lowry beverly",1987
"1665","lowry malcolm 19091957",1966
"1666","lowry robert 19191994",1951
"1667","lucas e v 18681938",1913
"1668","ludlum robert 19272001",1982
"1669","lummis charles fletcher 18591928",1905
"1670","lurie alison",1972
"1671","lustig arnost",1989
"1672","luther mark lee 1872",1909
"1673","lyall edna 18571903",1894
"1674","lyle eugene p 18731961",1908
"1675","lynch lawrence l",1894
"1676","lynch lee 1945",1988
"1677","lynd robert 18791949",1926
"1678","lynde francis 18561930",1910
"1679","lyons a neil 18801940",1914
"1680","lysaght sidney royse d 1941",1899
"1681","lytton edward bulwer lytton baron 18031873",1874
"1682","lytton rosina bulwer lytton baroness 18021882",1846
"1683","maalouf amin",1994
"1684","maartens maarten 18581915",1895
"1685","mabie hamilton wright 18461916",1904
"1686","macaulay rose 18811958",1928
"1687","macdonald george 18241905",1883
"1688","macdonald john d 19161986",1978
"1689","macdonald philip",1933
"1690","macdonald ross 19151983",1967
